33226224_494.cml_Service_messages_0	Service messages	"Service messages."
36475496_390.cml_Frequently_asked_questions_0	Frequently asked questions	"Why can the current position not be displayed?
- The vehicle is located in an unrecognized region, is in a poor reception area, or the system is currently determining the position.
Reception is usually best when you have an unobstructed view of the sky.Why does destination guidance not accept a destination without the street?
- No downtown can be determined for the entered town city.
Input any street in the selected city and start destination guidance.Why does destination guidance not accept a destination?
- The destination data is not contained in the navigation data. Select a destination that is as close as possible to the original.Why can letters not be selected for destination input?
- The destination data is not contained in the navigation data.
Select a destination that is as close as possible to the original.Why is the map view displayed in grayscale? -  Traffic summary  active: view on the Control Display is switched to grayscale. This enables a better view of the traffic bulletins. Deactivate the traffic info map. Why are spoken instructions no longer be output during route guidance in front of intersections?
- The area has not yet been fully recorded, or you have left the recommended route and the system requires a few seconds to calculate a new route suggestion."
36476123_631.cml_BMW_Assist_or_ConnectedDriveMINI_Connected_0	BMW Assist or ConnectedDrive MINI Connected	"Function
Command
 MINI Connected , Open the menu.
 Connected Drive  or  B M W Assist  Open MINI Connected.
 MINI Assist  or  MINI Connected   Online , Open the menu.
 B M W Online  Open the Internet.
 Internet  Open BMW Live.
 B M W Live "
36476938_485.cml_Show_contact_pictures_0	Show contact pictures	"Pictures stored with the contacts are stored in the vehicle when the mobile phone is connected to the vehicle.
On the Control Display:
1.  Settings 
2.  Connections 
3.  Bluetooth  
4. Open  Options .
5.  Configure Bluetooth  
6.  Show images Display of all contact pictures is activated or deactivated."
36478217_435.cml_Functional_requirements_0	Functional requirements	"- Compatible mobile phone.
- Mobile phone ready for operation.
- The ignition is switched on.
- Bluetooth is activated in the vehicle and on the mobile phone.
- Bluetooth presets may need to be made on the mobile phone, for example, for a connection without confirmation or visibility, refer to the mobile phone owner's manual.
- Deactivate Bluetooth audio if needed.
- A number with at least four and a maximum of 16 digits should be defined as the Bluetooth passkey. Required for first-time pairing only."
36481447_441.cml_Configuring_a_mobile_phone_0	Configuring a mobile phone	"Functions can be activated or deactivated for paired and connected mobile phones.
On the Control Display:
1.  Settings 
2.  Connections 
3.  Bluetooth  
4. Depending on the equipment:
- Highlight the mobile phone to be configured and  Options  call it up.
- Select the mobile phone to be configured.
5. Select the desired mobile phone.
6. Open  Options .
7.  Configure device 
8. At least one function must be selected.
-  Telephone 1 
-  Telephone 2 
-  Data transfer 
-  Audio 
9.  OK If a function is assigned to a mobile phone, the function will be deactivated where appropriate for a mobile phone that is already connected and the mobile phone will be disconnected."
36481584_410.cml_Audio_0	Audio	"Changing the track

 On the Control Display:
Select theorsymbol.
Via buttons on the radio:
 Press button."
36481584_410.cml_Audio_1	Audio	"Selecting a track

 Audio CDs

 Select the desired track to begin playback. 1.  Multimedia 
2.  CD/DVD 
3. Select the desired CD or DVD.
4.  Now playing 
5. Select the desired track to begin playback. CDs/DVDs with compressed audio files

 Depending on the data, some letters and numbers of the CD/DVD may not be displayed correctly.
1.  Browse directory 
2. Select the directory if needed.
To go up a level in the directory: move the Controller to the left.
3. Select the desired track to begin playback."
36481584_410.cml_Audio_2	Audio	"Displaying information on the track

 If data pertaining to a track have been stored, these are automatically displayed:
- Artist.
- Album name.
- Name of track.
- Name of track/number of tracks.
- Cover picture."
36481584_410.cml_Audio_3	Audio	"Updating album information

 The album information for a CD is displayed automatically. If the album information is not correctly displayed, perhaps because there are several similar albums, the album information can be updated.
1.  Multimedia 
2.  CD/DVD 
3. Open  Options .
4.  Album information 
5. Select the desired entry.If no information is displayed, the full album information on the CD can be updated via BMW Online."
36481584_410.cml_Audio_4	Audio	"Random playback

 All tracks of the CD/DVD are played back in random order.
1.  Multimedia 
2.  CD/DVD 
3. Select the desired CD or DVD.
4. Open  Options .
5.  Random Symbol is displayed in the track information before the track name."
36481584_410.cml_Audio_5	Audio	"Fast forward/reverse

 Via buttons on the radio:
 Press and hold this button."
36482068_417.cml_USB_audio_interface_0	USB audio interface	"General information

 Observe the information and notes regarding the USB interface."
36482068_417.cml_USB_audio_interface_1	USB audio interface	"Connection of Apple iPod/iPhone via USB audio interface

 Use a flexible adapter cable for connecting, for example, the original iPod/iPhone adapter cable.
Connect the Apple iPod/iPhone to the USB audio interface.
The Apple iPod/iPhone menu structure is supported by the USB audio interface."
36482068_417.cml_USB_audio_interface_2	USB audio interface	"Connection of a USB device via the USB audio interface

 Use a flexible adapter cable for connecting to help protect the USB audio port and the USB device from mechanical damage. The adapter cable supplied with the USB device would be ideal.
Connect the USB device to the USB audio interface for external devices.
After connecting for the first time

 Information on all music tracks, for example, artist, genre or track, as well as playback lists, are transmitted into the vehicle. This may take some time, depending on the USB device and the number of tracks.
During transmission, the tracks can be called up via the file directory.
Number of tracks

 Information from up to four USB devices or for approx. 40,000 tracks can be stored in the vehicle. If a fifth device is connected or if more than 40,000 tracks are stored, information on existing tracks will be deleted.
Copy protection

 Music tracks with integrated Digital Rights Management, DRM, cannot be played."
36482068_417.cml_USB_audio_interface_3	USB audio interface	"Playback

 1.  Multimedia 
2.  External devices 
3. Select the symbol. Select theorsymbol.Playback is started."
36482068_417.cml_USB_audio_interface_4	USB audio interface	"Track search

 1.  Multimedia 
2.  External devices 
3. Select the symbol. Select theorsymbol.
4.  Music search Track search using information

 1. Select the desired category, for example,  Genre  or  Artist .
All entries are displayed in a list.
- Open  Keyword search  and input the desired entry. When a letter is entered, the results are filtered using this letter as the first letter. If multiple letters are entered, all results that contain that sequence are displayed.
- Select the desired entry from the list.
2. Select other categories if you wish.
Not all categories need to be selected. E. g. if all of the tracks by a certain artist are to be displayed, call up that artist only. All of the tracks by that artist are then displayed.
3.  Play Restarting a track search

  Reset search 
Browsing a directory

 If connection is via the USB audio interface in the center console, the file directory of the device can be displayed.
 Browse directory 
A list of directories and tracks is displayed.
This symbol identifies directories.
Select the desired track or directory.
To go up a level in the directory, move the Controller to the left."
36482068_417.cml_USB_audio_interface_5	USB audio interface	"Playback lists

 Calling up playback lists.
1.  Multimedia 
2.  External devices 
3. Select the symbol. Select theorsymbol.
4.  Playlists 
5. Select the desired playlist."
36482068_417.cml_USB_audio_interface_6	USB audio interface	"More media, audio books, podcasts, videos More media, audio books, podcasts 

 Audio books, podcasts and videos on the device can be called separately. Audio books and podcasts on the device can be called separately. Depending on USB device and equipment, audio books, podcasts, and videos can be called separately. Depending on USB device and equipment, audio books and podcasts can be called separately. 1.  Multimedia 
2.  External devices 
3. Select the symbol. Select theorsymbol.
4.  Additional Media 
5. Call the desired medium:
-  Audio books 
-  Podcasts 
-  Video "
36482068_417.cml_USB_audio_interface_7	USB audio interface	"Video playback

 Information

 Depending on USB device and equipment, video playback may not be possible.
Playback

 The video image is displayed on the front Control Display up to a speed of approx. 3 km/h 3 km/h, approx. 2 mph 2 mph/3 km/h  in some countries, it is only displayed if the parking brake is set or if the transmission is in Selector lever position  P.
1.  Multimedia 
2.  External devices 
3. Select the symbol. Select theorsymbol.
4.  Additional Media 
5.  Video 
6. Select the directory if needed.
To go up a level in the directory: move the Controller to the left.
7. Select the desired video file to begin playback.Video menu

 Symbol
Function

Next video file.

Previous video file.
Double-click on an icon to play back previous video file."
36482068_417.cml_USB_audio_interface_8	USB audio interface	"Current playback

 List of tracks that is currently being played. E. g. the list of tracks that was found in the track search or a playlist.
1.  Multimedia 
2.  External devices 
3. Select the symbol. Select theorsymbol.
4.  Now playing "
36482068_417.cml_USB_audio_interface_9	USB audio interface	"Random playback

 The current list of tracks is played back in random order.
iPod/iPhone: the playlist is displayed in random order and the tracks are played in the order they appear.
USB device: the playlist is displayed in the conventional order and the tracks are played in random order.
1.  Multimedia 
2.  External devices 
3. Open  Options .
4.  Random Symbol is displayed before the track information."
36482068_417.cml_USB_audio_interface_10	USB audio interface	"Fast forward/reverse

  Press and hold this button."
36482189_399.cml_Reset_0	Reset	"1.  Multimedia ,  Radio  or  Settings 
2.  Tone 
3.  Reset "
36483568_369.cml_Displays_0	Displays	"1.  Navigation 
2.  Map "
36483568_370.cml_Overview_0	Overview	"Map view"
36483568_370.cml_Overview_1	Overview	"Lines in the map

 Streets and routes are displayed in different colors and styles depending on their classification. Dashed lines represent railways and ferry connections. Country borders are indicated by thin lines."
36483568_370.cml_Overview_2	Overview	"Traffic obstructions

 If traffic information of a radio station or a traffic information service is received, traffic instructions can be displayed on the map.
Lines along the planned route indicate route sections with traffic obstructions, depending on the map scale. The position of the lines on the route shows the direction of the obstruction.
The traffic signs indicate the significance of the obstruction.
- Red traffic sign: the obstruction affects the planned route or direction.
- Gray traffic sign: the obstruction does not affect the planned route or direction."
36483568_370.cml_Overview_3	Overview	"Planned route

 After destination guidance is started, the planned route is displayed on the map."
36483568_370.cml_Overview_4	Overview	"Status fields

 Show/hide: press the Controller. Show/hide: 1. Press the Controller.
2.  Status info on  - Upper status field: time, telephone, and entertainment details.
- Lower status field: symbol for active destination guidance, status of traffic bulletins, time of arrival, and distance to destination."
36483568_370.cml_Overview_5	Overview	"Quick access to frequently used functions

 An overview of frequently used functions can be displayed in the map view.
Show/hide: press the Controller.
-  Repeat voice instruction 
-  Stop guidance 
-  Interactive map 
-  Status info on Select the desired function."
36483568_370.cml_Overview_6	Overview	"Function bar

 The following functions are available in the function bar:
Symbol
Function

Destination guidance active/inactive.
    
Switching spoken instructions on and off.
    
Change the route criteria.

Search for a Point of Interest.
The preferred Point of Interest categories are offered in the second level.   
Traffic information functions.

Detour available.

Interactive map.

Select the map view.
  
  
Change the scale. Symbol
Function

Destination guidance active/inactive.
    
Switching spoken instructions on and off.
    
Change the route criteria.
 
Search for a Point of Interest.
The preferred Point of Interest categories are offered in the second level.

Traffic information functions.

Detour available.

Interactive map.

Select the map view.

Show additional info on the map. To change to the function bar, move the Controller to the left."
36483568_371.cml_Map_section_0	Map section	"Change

  Interactive map 
- To shift the map: move the Controller in the required direction.
- To shift the map diagonally: move the Controller in the required direction and turn it."
36483568_372.cml_Traffic_information_functions_0	Traffic information functions	"Settings are stored for the profile currently used.
1.  Navigation 
2.  Map 
3.  Traffic info -  Traffic list : display list of traffic information.
-  Detour : accept detours.
-  Traffic info map : information about traffic flow is displayed in a special map view. The symbols for the other additional information set are also displayed.
-  Traffic flow : depending on the map scale, a traffic obstruction's length, direction, and impact are displayed in the map using traffic signs or colored lines along the calculated route provided that corresponding traffic information is present. Information about traffic flow in the map view.
-  Traffic icons : symbols for traffic information are displayed.
-  Receive traffic info : Switch traffic information on/off."
36483568_373.cml_Map_views_0	Map views	"Settings are stored for the profile currently used.
1.  Navigation 
2.  Map 
3.  Map views -  View facing north 
-  Direction of travel view 
-  Perspective view 
-  Arrow display 
-  Route overview "
36483568_373.cml_Map_views_1	Map views	"Route overview

    Route overview : in the north-oriented map view, the entire route from the starting location to the destination is displayed. This view is also selected if the scale is adjusted until the following appears:  AUTO .
 Auto zoom : the map scale is adapted to the situation before the next driving maneuver."
36483568_375.cml_General_information_0	General information	"Settings are stored for the profile currently used.
1.  Navigation 
2.  Map 
3.  Map content -  Points of Interest : symbols for Points of Interest are displayed. Display.
-  Weather : display weather symbols on the map via BMW Online.
Displayed symbols: clear skies, cloudy skies, rain, thunder shower, and snowfall, each with the current temperature.
The weather information is updated automatically.
The symbols are displayed in several selected scales.
-  Satellite images : depending on availability and resolution, in some scales satellite images are displayed as the background.
- 3D  Perspective view in 3D : prominent areas that are present in the navigation data are displayed on the map in 3D.
- : display additional settings."
36483568_376.cml_Additional_settings_0	Additional settings	"1.  Navigation 
2.  Map 
3.  Map content 
4.  Additional settings "
36483568_376.cml_Additional_settings_1	Additional settings	"Displaying Points of Interest

  Display Points of Interest : display Points of Interest on the map."
36483568_376.cml_Additional_settings_2	Additional settings	"Map color

  Map color : select and make settings depending on the light conditions.
-  Classic colors 
-  Alternative colors "
36483568_376.cml_Additional_settings_3	Additional settings	"Map mode

  Day/night view : select and make settings depending on the light conditions.
-  Day mode 
-  Night mode 
-  Automatic "
36483568_377.cml_Adjusting_0	Adjusting	"Settings are stored for the profile currently used.
1.  Navigation 
2.  Map 
3.  Map views "
36483568_377.cml_Adjusting_1	Adjusting	"Map views

 -  View facing north 
-  Direction of travel view 
-  Perspective view 
-  Arrow display 
-  Traffic info map 
-  Map content 
-  Map mode 
-  Status info "
36483568_377.cml_Adjusting_2	Adjusting	"Traffic bulletin map

  Traffic info map : information about traffic flow is displayed in a special map view. The symbols for the other additional information set are also displayed."
36483568_377.cml_Adjusting_3	Adjusting	"Additional information

  Map content 
-  Points of Interest : symbols for Points of Interest are displayed. Display.
-  Traffic icons : symbols for traffic information are displayed.
-  Traffic flow : depending on the map scale, a traffic obstruction's length, direction, and impact are displayed in the map using traffic signs or colored lines along the calculated route provided that corresponding traffic information is present. Information about traffic flow in the map view.
-  Weather : weather symbols are displayed on the map.
Displayed symbols: clear skies, cloudy skies, rain, thunder shower, and snowfall, each with the current temperature.
The weather information is updated automatically.
The symbols are displayed in several selected scales.
-  Satellite images : depending on availability and resolution, in some scales satellite images are displayed as the background.
- 3D  Perspective view in 3D : prominent areas that are present in the navigation data are displayed on the map in 3D.
-  Arrow display : display map with arrow view."
36483568_377.cml_Adjusting_4	Adjusting	"Map mode

  Map mode : select and make settings depending on the light conditions.
-  Day 
-  Automatic "
36483568_377.cml_Adjusting_5	Adjusting	"Map color

 1. Open  Options .
2.  Map color 
3.  Classic colors  or  Alternative colors "
36483568_377.cml_Adjusting_6	Adjusting	"Status information

 -  Status info : show/hide status fields."
36483568_378.cml_Scale_0	Scale	"Change

 1. Select the symbol.
2. To change the scale: turn the Controller."
36483568_378.cml_Scale_1	Scale	"Automatically scaled map scale

    Auto map scale : in the north-oriented map view, the entire route from the starting location to the destination is displayed. This view is also selected if the scale is adjusted until the following appears:  AUTO .
 Auto zoom : the map scale is adapted to the situation before the next driving maneuver."
36483568_379.cml_Map_view_for_split_screen_0	Map view for split screen	"1. Switch on the split screen.
2. Move the Controller to the right repeatedly until the split screen is selected.
3. Press the Controller.
4. Select desired setting.
5. To change the scale: select the split screen and turn the Controller."
36483568_380.cml_Screens_related_to_the_destination_0	Screens related to the destination	"Displays

 When destination guidance is active, photos can be viewed of some destinations via BMW Online.
1.  Navigation 
2.  Map 
3.  Guidance 
4.  Pictures at destination 
5. Depending on availability, a selection of photos is available for viewing."
36483910_394.cml_Treble,_bass,_balance,_fader_0	Treble, bass, balance, fader	"1.  Multimedia ,  Radio  or  Settings 
2.  Tone 
3.  Tone 
4.  Tone 
5. Select the desired tone settings.
-  Treble : treble adjustment.
-  Bass : depth adjustment.
-  Balance : left/right volume distribution.
-  Fader : front/rear volume distribution.
6. To adjust: turn the Controller.
7. To store: press the Controller."
36484086_389.cml_Navigation_data_0	Navigation data	"Information on the navigation data

 1.  Navigation 
2. Open  Options .
3.  Navigation system version : information on the data version is displayed."
36484086_389.cml_Navigation_data_1	Navigation data	"Updating

 General information

 Navigation data are stored in the vehicle and can be updated from a USB medium.
Current navigation data and the authorization code are available from a dealer's service center or another qualified service center or repair shop.
Information

 Depending on the data volume, the data update may take several hours.
Update during the trip to preserve the battery.
During the update, only the basic functions of the navigation system are available. The status of the update can be queried.
Update

 1. Connect a USB device with the new navigation data to the USB interface in the center armrest.
2. Connect USB device with the new navigation data to the USB interface in the center console.
3. Follow the instructions on the Control Display.
4. Enter the release code for the navigation data.
The navigation data will be updated. After a trip is interrupted, follow the instructions on the Control Display.
5. Remove the USB medium after the update.Viewing the status

 1. Press button.
2.  Navigation update "
36484086_389.cml_Navigation_data_2	Navigation data	"Automatic map update

 General information

 Depending on the equipment and country version, the navigation data for the home region is transmitted online to the vehicle four times a year and automatically installed and updated.
Changing the home region

 1.  Navigation 
2. Open  Options .
3.  Navigation system version 
4. Select the symbol.
5. BMW Online is opened. Follow the instructions on the Control Display and select the desired home region."
36484321_473.cml_General_information_0	General information	"Contacts can be created and edited. The contacts on the mobile phone to which the telephone or additional phone function has been assigned and contacts from the BMW Online address book are displayed. The addresses can be adopted as destinations for navigation and the phone numbers can be dialed. Contacts can be created and edited. The contacts on the mobile phone to which the telephone or telephone 2 function has been assigned and contacts from the BMW Online address book are displayed. The addresses can be adopted as destinations for navigation and the phone numbers can be dialed. Contacts can be created and edited. The contacts on the mobile phone to which the telephone or telephone 1 or telephone 2 function has been assigned are also displayed. The addresses can be adopted as destinations for navigation and the phone numbers can be dialed. Contact pictures can be displayed, if the mobile phone supports this functions."
36484507_434.cml_Pairing_and_connecting_mobile_phone_0	Pairing and connecting mobile phone	"Activating/deactivating the functions

 Activate functions before pairing, so that they can be assigned to a mobile phone.
Information on compatible mobile phones that support these functions.
On the Control Display:
1.  Settings 
2.  Connections 
3.  Bluetooth  
4. Open  Options .
5.  Configure Bluetooth  
6. Select the desired functions.
- If necessary,  Bluetooth  audio 
-  Office 
-  Show images 
-  Telephone 2 
7. Move the Controller to the left."
36485155_350.cml_General_information_0	General information	"General information

 The navigation system can determine the precise position of the vehicle with the aid of satellites and vehicle sensors, and can reliably guide you to every entered destination.
Navigation data are stored in the vehicle and can be updated."
36485155_350.cml_General_information_1	General information	"Information

 Entries in stationary vehicle
Deviations"
36485637_474.cml_Displaying_contacts_0	Displaying contacts	"On the Control Display:
1.  Office 
2.  Contacts 
All contacts are listed in alphabetical order. Depending on the number of contacts, an A-Z search is offered.You can choose whether the contacts from a mobile phone are to be displayed. The contacts can also be displayed from both connected mobile phones.
1. Open  Options .
2. Select the mobile phone from which the contacts are to be displayed.A symbol indicates the storage location of the contacts: Symbol
Storage location

Vehicle.

Mobile phone.
BMW Online address book."
36485870_463.cml_Functional_requirements_0	Functional requirements	"- Office is activated.
- Compatible mobile phone is connected to the vehicle. The telephone or additional phone function has been assigned to the mobile phone. Compatible mobile phone is connected to the vehicle. The telephone 1 or telephone 2 function is assigned to the mobile phone.
- In some mobile phones, data access must be confirmed on the mobile phone.
- The time, time zone, and date are correctly set on the Control Display and on the mobile phone to correctly display appointments, for example."
36486151_444.cml_Frequently_asked_questions_0	Frequently asked questions	"Information on compatible mobile phones.
include text 635a - include text 635b Why could the mobile phone not be paired or connected?
- Check, whether Bluetooth is activated in the vehicle and on the mobile phone.
Switch on Bluetooth.
- The Bluetooth passkeys on the mobile phone and the vehicle do not match.
Enter the same passkey on the mobile phone and via iDrive. Enter the same passkey on the mobile phone and via the onboard monitor.
- It took longer than 30 seconds to enter the passkey.
Newly pair the mobile phone.
- The control numbers on the mobile phone and vehicle do not match.
Newly pair the mobile phone.
- There are too many Bluetooth devices connected to the mobile phone or vehicle.
Delete connections with other devices if needed.
- Bluetooth audio was deactivated on the mobile phone.
Deactivate Bluetooth audio.
- The mobile phone in power-save mode or has only a limited remaining battery life.
Charge the mobile phone in the snap-in adapter or via a charging cable.
- Depending on the mobile phone, it is possible that only one mobile phone can be connected to the vehicle.
Unpair the connected mobile phone from the vehicle and pair and connect only one mobile phone.Why does the mobile phone no longer react?
- The applications on the mobile phone do not function anymore.
Switch the mobile phone off and on again.
- Possibly too high or too low ambient temperatures for mobile phone operation.
Do not subject the mobile phone to extreme ambient temperatures.Why are no telephone functions available?
- The mobile phone may not be properly configured, e.g. as Bluetooth audio device.
Connect the mobile phone with the telephone or additional phone function. Connect the mobile phone with the telephone 1 or telephone 2 function.Why are no or not all phone book entries displayed or why are they incomplete?
- Transmission of the phone book entries is not yet complete.
- It is possible that only the phone book entries of the mobile phone or the SIM card are transmitted.
- It may not be possible to display phone book entries with special characters.
- It may not be possible to transmit contacts from social networks.
- The number of phone book entries to be stored is too high.
- Is the data volume of the contact too large, for example, due to stored information such as notes? Reduce the data volume of the contact.
- The mobile phone is connected as an audio source. Configure the mobile phone and connect it with the telephone or additional phone function. Configure the mobile phone and connect it with the telephone 1 or telephone 2 function.Why is the phone connection quality poor?
- The strength of the Bluetooth signal on the mobile phone can be adjusted, depending on the mobile phone.
- Insert the mobile phone into the snap-in adapter or place it in the area of the center console.
- Adjust the volume of the microphone and loudspeakers separately.If all points in this list have been checked and the required function is still not available, contact the hotline, a dealer's service center or another qualified service center or repair shop. If all points in this list have been checked and the required function is still not available, contact a dealer's service center or another qualified service center or repair shop."
36488654_401.cml_AM/FM_station_0	AM/FM station	"Selecting a station

 1.  Radio 
2.  FM  or  AM  The last station played will be played and displayed.
3.  FM stations  or  AM stations  The received stations are displayed.
4. Select the desired station."
36488654_401.cml_AM/FM_station_1	AM/FM station	"Changing the station

 On the Control Display:
Select theorsymbol.
Via buttons on the radio:
 Press button."
36488654_401.cml_AM/FM_station_2	AM/FM station	"Storing a station

 1.  Radio 
2.  FM  or  AM  The last station played will be played and displayed.
3.  FM stations  or AM stations . The received stations are displayed.
4. Highlight the desired station.
- Press the Controller for an extended period.
The current station is further played, the marked station is stored.
- Press the Controller twice.
The marked station is played and stored.
5. Highlight the desired storage location and press the Controller.The stations can also be stored on the Favorites buttons. The stations can also be stored on the Favorites buttons."
36488654_401.cml_AM/FM_station_3	AM/FM station	"Selecting a station manually

 Station selection via the frequency.
1.  Radio 
2.  FM  or  AM  The last station played will be played and displayed.
3.  FM stations  or AM stations .
4.  Manual 
5. Select another waveband if desired.
6. To select the frequency: turn the Controller.
7. To store the frequency: press the Controller."
36488654_401.cml_AM/FM_station_4	AM/FM station	"Renaming a station

 When storing a station with RDS signal, the RDS information transferred during storing is accepted as the station name. This name can be changed.
1.  Radio 
2.  FM 
3. Adjust the settings for the current station.
Or:
 FM stations 
Select the desired station.
4. Open  Options .
5.  Rename to: 
If necessary, wait until the desired name appears.
6. Press the Controller to store this name.The selected station name is copied to the list of stations with reception and stored stations. Displaying additional information

 If a radio station broadcasts radio text or radio text plus, this information can be displayed, for example, the track or performer of the music. Availability, content and sequence are set by the radio station.
1.  Radio 
2.  FM 
3. Adjust the settings for the current station.
Or:
 FM stations 
Select the desired station.
4. Open  Options .
5.  Station info  RDS

 The concept

 RDS broadcasts additional information, such as the station name, in the FM wave band.
When playing a station with multiple frequencies, the system automatically switches to the frequency with the best reception, if needed. It is recommended to switch on RDS.
Switching on/off

 1.  Radio 
2.  FM 
3. Open  Options .
4.  RDS  HD Radio™ reception

 Many stations broadcast both analog and digital signals.
License conditions
Activating/deactivating digital radio reception

 On the Control Display:
1.  Radio 
2.  FM  or  AM  The last station played will be played and displayed.
3. Open  Options .
4.  HD Radio reception This symbol is displayed in the status line when the audio signal is digital.
When setting a station with a digital signal, it may take a few seconds before the station plays in digital quality.
Information about HD Radio stations whose station name ends with ...HD or with ...HD1:
In areas in which the station is not continuously received in digital mode, the playback switches between analog and digital reception. In this case, switch off digital radio reception.
Information about HD Radio multicast stations whose station name ends with ...HD2, ...HD3, ...:
In areas in which the station is not continuously received in digital mode, there may be interruptions of the audible signal lasting several seconds. This depends on the reception.
Displaying additional information

 Some stations broadcast additional information on the current track, such as the name of the artist.
1.  Radio 
2.  FM  or  AM  The last station played will be played and displayed.
3. Adjust the settings for the current station or select station.
 FM stations  or  AM stations 
4. Open  Options .
5.  Station info "
37682642_280.cml_Displays_in_the_instrument_cluster_0	Displays in the instrument cluster	"Desired speed and stored speed

 In addition to the indicator lamp, the desired speed is displayed in the central information display.
- Display lights up green: system is active, the display indicates the desired speed.
- Display lights up orange: system is interrupted, the display indicates the stored speed.
- No display: system is switched off.If no speed is indicated, it is possible that the conditions necessary for operation are not currently fulfilled."
37682642_280.cml_Displays_in_the_instrument_cluster_1	Displays in the instrument cluster	"Distance to vehicle ahead of you

 Selected distance from the vehicle driving ahead is briefly displayed in the left hand portion of the CID (central information display).
Distance display
Distance 1
Distance 2
Distance 3
This value is set automatically after the system is switched on. It corresponds to roughly half the displayed km/h value in meters. Distance 4
This value is set automatically after the system is switched on."
37682642_280.cml_Displays_in_the_instrument_cluster_2	Displays in the instrument cluster	"Detected vehicle

 Symbol lights up orange:
A vehicle has been detected ahead of you."
37682642_280.cml_Displays_in_the_instrument_cluster_3	Displays in the instrument cluster	"Indicator/warning lights

 Symbol flashes orange:
The conditions are not adequate for the system to work.
The system was deactivated but applies the brakes until you actively resume control by pressing on the brake pedal or accelerator pedal.
Symbol flashes red and a signal sounds:
You are requested to intervene by braking or make an evasive maneuver.
The system has been interrupted or distance control is temporarily suppressed because the accelerator pedal is being pressed; a vehicle was not detected.
Distance control is temporarily suppressed because the accelerator pedal is being pressed; a vehicle was detected."
37682894_154.cml_Selector_lever_positions_0	Selector lever positions	"D Drive

 Selector lever position for normal vehicle operation. All gears for forward travel are activated automatically."
37682894_154.cml_Selector_lever_positions_1	Selector lever positions	"R Reverse

 Select only when the vehicle is stationary."
37682894_154.cml_Selector_lever_positions_2	Selector lever positions	"N Neutral

 The vehicle may roll. Use in automatic car washes, for example."
37682894_154.cml_Selector_lever_positions_3	Selector lever positions	"P Park

 Select only when the vehicle is stationary. The drive wheels are blocked.
Before exiting the vehicle, make sure that selector lever position P is set. Otherwise, the vehicle may begin to move."
37682894_154.cml_Selector_lever_positions_4	Selector lever positions	"Kickdown

 Kickdown is used to achieve maximum driving performance. Step on the accelerator pedal beyond the resistance point at the full throttle position."
37682951_196.cml_Sport_displays_in_the_Head-up_Display_0	Sport displays in the Head-up Display	"Shift point indicator

 The concept

 Shift point indicator in the Head-up Display indicates the optimum shifting point. Thus, with a sporty driving style, the best possible vehicle acceleration is achieved.
Functional requirements

 - Manual mode M/S and if necessary the Dynamic Traction Control DTC are activated.
- Press the gas pedal all the way down.Switching on

 Shift point indicators are displayed in the Head-up if the sport displaysare switched on.
1.  Settings 
2.  Head-Up Display 
3.  Displayed information 
4.  Sport displays Display

 Successive gray illuminated fields indicate the upcoming upshift moment.
As soon as the red fields light up, shift up immediately.
When the permitted maximum speed is reached, all shift point indicators flash.
When the maximum speed is exceeded, the supply of fuel is interrupted in order to protect the engine."
37683178_658.cml_Secure_the_vehicle_against_rolling_0	Secure the vehicle against rolling	"If the parking brake fails or malfunctions, secure the vehicle against rolling before exiting. To ensure that the vehicle is secured against rolling, observe the following:
- Make sure that selector lever position P is engaged.
- Make sure that the 1st gear or reverse is engaged.
- On uphill grades or on a slope, turn the front wheels in the direction of the curb.
- On uphill grades or on a slope, also secure the vehicle, for example with a wheel chock.Engage selector lever position P

 Press the unlock button on the front of the selector lever, arrow, and press the selector lever into selector lever position P."
37683247_290.cml_Cruise_control_0	Cruise control	"The concept

 Cruise control Using this system, a desired speed can be adjusted using the buttons on the steering wheel. The system maintains the desired speed. The system accelerates and brakes automatically as needed."
37683466_660.cml_Secure_the_vehicle_against_rolling_0	Secure the vehicle against rolling	"Before exiting, secure the vehicle against rolling. Make sure that selector lever position P is engaged. Before exiting, secure the vehicle against rolling. Make sure that the 1st gear or reverse is engaged. Engage selector lever position P

 Press the unlock button on the front of the selector lever, arrow, and press the selector lever into selector lever position P. Setting the parking brake

 Pull the switch.
The LED lights up.
The indicator lamp lights up red. The parking brake is set. Engage the parking brake

 Pull up the parking brake lever. Lever engages automatically.
  The indicator lamp lights up red. The parking brake is set."
37683505_522.cml_Tire_identification_marks_0	Tire identification marks	"Tire size

 205/45 R 17 84 V
205: nominal width in mm
45: aspect ratio in %
R: radial tire code
17: rim diameter in inches
84: load rating, not for ZR tires
F: speed rating, before the R on ZR tires"
37683505_522.cml_Tire_identification_marks_1	Tire identification marks	"Speed letter

 T = up to 118 mph, 190 km/h
H = up to 131 mph, 210 km/h
V = up to 150 mph, 240 km/h
W = up to 167 mph, 270 km/h
Y = up to 186 mph, 300 km/h"
37683505_522.cml_Tire_identification_marks_2	Tire identification marks	"Tire Identification Number

 DOT code: DOT xxxx xxx 0116
xxxx: manufacturer code for the tire brand
xxx: tire size and tire design
0116: tire age
Tires with DOT codes meet the guidelines of the U.S. Department of Transportation."
37683505_522.cml_Tire_identification_marks_3	Tire identification marks	"Tire age

 DOT … 0116: the tire was manufactured in the 1st week of 2016.
Recommendation

 Regardless of wear and tear, replace tires at least every 6 years."
